"","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL"
"1",1,"2015-10-07","Away","CHI",3,2,"W","1","0","0","W 1",1,27,4,0,0,0,34,2,0,1,1,0,1,1,0,0
"2",2,"2015-10-09","Away","CBJ",7,4,"W","2","0","0","W 2",2,52,16,0,2,0,67,8,1,6,1,0,1,2,0,0
"3",3,"2015-10-10","Home","CBJ",12,6,"W","3","0","0","W 3",3,81,28,1,4,0,106,14,2,11,1,1,1,3,0,0
"4",4,"2015-10-13","Home","WPG",13,10,"L","3","1","0","L 1",3,122,40,1,9,0,135,26,4,16,0.75,0.5,1,3,1,0
"5",5,"2015-10-15","Away","MTL",13,13,"L","3","2","0","L 2",3,147,52,1,14,0,167,38,4,21,0.6,0.5,0.666666666666667,3,2,0
"6",6,"2015-10-18","Home","NJD",14,15,"OTL","3","2","1","L 3",3,174,63,1,16,0,191,47,4,24,0.5,0.333333333333333,0.666666666666667,3,2,1
"7",7,"2015-10-19","Home","SJS",18,15,"W","4","2","1","W 1",4,202,67,2,17,0,213,49,4,26,0.571428571428571,0.5,0.666666666666667,4,2,1
"8",8,"2015-10-22","Home","ARI",22,16,"W","5","2","1","W 2",5,229,73,3,20,0,248,55,4,29,0.625,0.6,0.666666666666667,5,2,1
"9",9,"2015-10-24","Away","PHI",24,19,"SOL","5","2","2","L 1",5,268,77,4,23,0,296,61,4,31,0.555555555555556,0.6,0.5,5,2,2
"10",10,"2015-10-25","Home","CGY",28,20,"W","6","2","2","W 1",6,294,83,4,25,0,319,67,4,33,0.6,0.666666666666667,0.5,6,2,2
"11",11,"2015-10-30","Home","TOR",31,21,"W","7","2","2","W 2",7,320,83,4,28,0,344,73,4,33,0.636363636363636,0.714285714285714,0.5,6,2,2
"12",12,"2015-11-03","Home","WSH",36,23,"W","8","2","2","W 3",8,342,87,4,29,0,378,75,4,35,0.666666666666667,0.75,0.5,6,2,2
"13",13,"2015-11-06","Away","COL",38,24,"W","9","2","2","W 4",9,375,99,5,31,0,408,81,5,40,0.692307692307692,0.75,0.6,6,2,2
"14",14,"2015-11-07","Away","ARI",42,25,"W","10","2","2","W 5",10,405,107,6,35,0,448,89,6,44,0.714285714285714,0.75,0.666666666666667,7,1,2
"15",15,"2015-11-10","Home","CAR",45,25,"W","11","2","2","W 6",11,428,119,6,37,0,481,93,6,50,0.733333333333333,0.777777777777778,0.666666666666667,8,0,2
"16",16,"2015-11-12","Home","STL",51,28,"W","12","2","2","W 7",12,450,127,7,39,0,515,99,7,53,0.75,0.8,0.666666666666667,9,0,1
"17",17,"2015-11-14","Away","OTT",53,29,"SOW","13","2","2","W 8",12,484,150,8,41,0,538,110,8,56,0.764705882352941,0.8,0.571428571428571,9,0,1
"18",18,"2015-11-15","Home","TOR",57,32,"W","14","2","2","W 9",13,514,156,8,43,0,564,112,8,59,0.777777777777778,0.818181818181818,0.571428571428571,9,0,1
"19",19,"2015-11-19","Away","TBL",58,34,"L","14","3","2","L 1",13,535,166,8,45,0,592,122,8,61,0.736842105263158,0.818181818181818,0.5,9,1,0
"20",20,"2015-11-21","Away","FLA",63,38,"OTW","15","3","2","W 1",14,566,180,9,47,0,635,126,10,67,0.75,0.818181818181818,0.444444444444444,9,1,0
"21",21,"2015-11-23","Home","NSH",66,38,"W","16","3","2","W 2",15,585,192,10,51,0,666,146,10,72,0.761904761904762,0.833333333333333,0.444444444444444,9,1,0
"22",22,"2015-11-25","Home","MTL",67,43,"L","16","4","2","L 1",15,619,200,11,56,0,691,156,11,76,0.727272727272727,0.769230769230769,0.444444444444444,8,2,0
"23",23,"2015-11-27","Away","BOS",70,47,"L","16","5","2","L 2",15,646,221,12,59,0,725,165,13,79,0.695652173913043,0.769230769230769,0.4,7,3,0
"24",24,"2015-11-28","Home","PHI",70,50,"L","16","6","2","L 3",15,670,230,12,61,0,759,184,13,81,0.666666666666667,0.714285714285714,0.4,6,4,0
"25",25,"2015-11-30","Home","CAR",74,53,"W","17","6","2","W 1",16,692,238,14,65,0,795,194,13,84,0.68,0.733333333333333,0.4,6,4,0
"26",26,"2015-12-02","Away","NYI",75,55,"SOL","17","6","3","L 1",16,726,244,14,68,0,832,200,14,86,0.653846153846154,0.733333333333333,0.363636363636364,5,4,1
"27",27,"2015-12-03","Home","COL",76,57,"L","17","7","3","L 2",16,751,249,14,69,0,850,207,14,86,0.62962962962963,0.6875,0.363636363636364,4,5,1
"28",28,"2015-12-06","Home","OTT",80,58,"W","18","7","3","W 1",17,782,253,16,71,0,874,209,14,88,0.642857142857143,0.705882352941177,0.363636363636364,4,5,1
"29",29,"2015-12-09","Away","VAN",81,60,"L","18","8","3","L 1",17,815,265,16,76,0,899,219,15,94,0.620689655172414,0.705882352941177,0.333333333333333,4,5,1
"30",30,"2015-12-11","Away","EDM",86,67,"L","18","9","3","L 2",17,849,271,17,78,0,936,223,16,97,0.6,0.705882352941177,0.307692307692308,3,6,1
"31",31,"2015-12-12","Away","CGY",90,72,"OTL","18","9","4","L 3",17,878,277,18,83,0,963,233,16,100,0.580645161290323,0.705882352941177,0.285714285714286,2,6,2
"32",32,"2015-12-15","Home","EDM",94,74,"W","19","9","4","W 1",18,899,289,19,88,0,983,241,17,106,0.59375,0.722222222222222,0.285714285714286,3,5,2
"33",33,"2015-12-17","Away","MIN",96,79,"L","19","10","4","L 1",18,922,297,19,90,0,1018,247,19,109,0.575757575757576,0.722222222222222,0.266666666666667,3,5,2
"34",34,"2015-12-18","Away","WPG",98,84,"L","19","11","4","L 2",18,950,305,20,92,0,1054,253,19,112,0.558823529411765,0.722222222222222,0.25,3,5,2
"35",35,"2015-12-20","Home","WSH",101,91,"L","19","12","4","L 3",18,986,315,21,97,0,1084,267,21,115,0.542857142857143,0.684210526315789,0.25,2,6,2
"36",36,"2015-12-22","Home","ANA",104,93,"OTW","20","12","4","W 1",19,1008,333,22,102,0,1103,287,21,119,0.555555555555556,0.65,0.25,3,6,1
"37",37,"2015-12-28","Away","NSH",107,98,"L","20","13","4","L 1",19,1037,337,22,103,0,1138,289,23,121,0.540540540540541,0.65,0.235294117647059,3,6,1
"38",38,"2015-12-30","Away","TBL",112,100,"W","21","13","4","W 1",20,1063,347,22,106,0,1160,293,25,126,0.552631578947368,0.65,0.277777777777778,3,6,1
"39",39,"2016-01-02","Away","FLA",112,103,"L","21","14","4","L 1",20,1103,362,22,111,0,1180,310,26,130,0.538461538461538,0.65,0.263157894736842,3,6,1
"40",40,"2016-01-05","Home","DAL",118,105,"W","22","14","4","W 1",21,1132,368,22,114,1,1203,316,26,133,0.55,0.666666666666667,0.263157894736842,4,5,1
"41",41,"2016-01-09","Home","WSH",121,109,"OTL","22","14","5","L 1",21,1158,374,22,117,1,1234,322,27,136,0.536585365853659,0.636363636363636,0.263157894736842,4,5,1
"42",42,"2016-01-11","Home","BOS",123,110,"W","23","14","5","W 1",22,1188,376,22,117,1,1267,322,27,137,0.547619047619048,0.652173913043478,0.263157894736842,4,5,1
"43",43,"2016-01-14","Away","NYI",124,113,"L","23","15","5","L 1",22,1223,384,22,120,1,1299,330,28,139,0.534883720930233,0.652173913043478,0.25,4,5,1
"44",44,"2016-01-16","Away","PHI",127,115,"SOW","24","15","5","W 1",22,1254,392,23,124,1,1335,340,29,142,0.545454545454545,0.652173913043478,0.238095238095238,5,4,1
"45",45,"2016-01-17","Away","WSH",129,120,"L","24","16","5","L 1",22,1287,400,23,128,1,1359,348,31,146,0.533333333333333,0.652173913043478,0.227272727272727,5,4,1
"46",46,"2016-01-19","Home","VAN",132,122,"OTW","25","16","5","W 1",23,1336,402,23,129,1,1379,350,31,147,0.543478260869565,0.625,0.227272727272727,5,4,1
"47",47,"2016-01-22","Away","CAR",136,123,"W","26","16","5","W 2",24,1368,404,23,130,1,1410,352,31,148,0.553191489361702,0.625,0.260869565217391,6,3,1
"48",48,"2016-01-24","Away","OTT",136,126,"L","26","17","5","L 1",24,1403,408,23,133,1,1443,358,31,150,0.541666666666667,0.625,0.25,5,4,1
"49",49,"2016-01-25","Home","BUF",142,129,"W","27","17","5","W 1",25,1436,410,24,137,1,1469,366,31,151,0.551020408163265,0.64,0.25,6,3,1
"50",50,"2016-02-02","Away","NJD",144,132,"L","27","18","5","L 1",25,1469,414,24,141,1,1494,374,33,153,0.54,0.64,0.24,5,4,1
"51",51,"2016-02-04","Home","MIN",148,134,"W","28","18","5","W 1",26,1499,420,24,144,1,1512,380,34,156,0.549019607843137,0.653846153846154,0.24,6,4,0
"52",52,"2016-02-06","Away","PHI",151,136,"SOW","29","18","5","W 2",26,1527,439,24,146,1,1540,409,35,160,0.557692307692308,0.653846153846154,0.230769230769231,6,4,0
"53",53,"2016-02-08","Home","NJD",153,137,"W","30","18","5","W 3",27,1564,449,24,151,1,1568,419,35,160,0.566037735849057,0.666666666666667,0.230769230769231,7,3,0
"54",54,"2016-02-10","Away","PIT",156,137,"W","31","18","5","W 4",28,1586,453,24,152,1,1602,421,35,162,0.574074074074074,0.666666666666667,0.259259259259259,7,3,0
"55",55,"2016-02-12","Home","LAK",160,142,"OTL","31","18","6","L 1",28,1614,457,25,153,1,1636,423,36,164,0.563636363636364,0.642857142857143,0.259259259259259,7,2,1
"56",56,"2016-02-14","Home","PHI",163,143,"W","32","18","6","W 1",29,1644,479,26,157,1,1658,445,37,169,0.571428571428571,0.655172413793103,0.259259259259259,7,2,1
"57",57,"2016-02-17","Home","CHI",166,148,"L","32","19","6","L 1",29,1678,487,28,159,1,1678,449,40,173,0.56140350877193,0.633333333333333,0.259259259259259,6,3,1
"58",58,"2016-02-18","Away","TOR",170,150,"W","33","19","6","W 1",30,1698,501,29,162,1,1715,465,40,178,0.568965517241379,0.633333333333333,0.285714285714286,7,2,1
"59",59,"2016-02-21","Home","DET",171,150,"OTW","34","19","6","W 2",31,1728,511,29,166,1,1737,475,40,182,0.576271186440678,0.612903225806452,0.285714285714286,7,2,1
"60",60,"2016-02-23","Away","NJD",173,155,"L","34","20","6","L 1",31,1747,534,29,166,1,1773,484,41,185,0.566666666666667,0.612903225806452,0.275862068965517,7,2,1
"61",61,"2016-02-25","Away","STL",175,156,"W","35","20","6","W 1",32,1770,540,29,168,1,1809,488,42,188,0.573770491803279,0.612903225806452,0.3,7,2,1
"62",62,"2016-02-27","Away","DAL",178,158,"W","36","20","6","W 2",33,1799,542,30,171,1,1847,494,42,188,0.580645161290323,0.612903225806452,0.32258064516129,7,2,1
"63",63,"2016-02-29","Home","CBJ",180,159,"W","37","20","6","W 3",34,1822,549,30,172,2,1874,501,42,189,0.587301587301587,0.625,0.32258064516129,7,2,1
"64",64,"2016-03-03","Away","PIT",181,163,"L","37","21","6","L 1",34,1850,555,30,174,2,1900,505,43,192,0.578125,0.625,0.3125,6,3,1
"65",65,"2016-03-04","Away","WSH",184,165,"W","38","21","6","W 1",35,1873,561,31,176,2,1934,511,44,194,0.584615384615385,0.625,0.333333333333333,7,3,0
"66",66,"2016-03-06","Home","NYI",188,171,"L","38","22","6","L 1",35,1899,567,32,179,2,1966,517,45,197,0.575757575757576,0.606060606060606,0.333333333333333,6,4,0
"67",67,"2016-03-08","Away","BUF",192,173,"W","39","22","6","W 1",36,1925,571,33,181,2,2002,531,45,199,0.582089552238806,0.606060606060606,0.352941176470588,7,3,0
"68",68,"2016-03-12","Away","DET",194,176,"OTL","39","22","7","L 1",36,1950,581,34,184,2,2045,539,46,203,0.573529411764706,0.606060606060606,0.342857142857143,6,3,1
"69",69,"2016-03-13","Home","PIT",197,181,"L","39","23","7","L 2",36,1977,594,35,188,2,2078,554,47,206,0.565217391304348,0.588235294117647,0.342857142857143,5,4,1
"70",70,"2016-03-16","Away","ANA",199,182,"W","40","23","7","W 1",37,2000,594,35,191,2,2101,560,47,206,0.571428571428571,0.588235294117647,0.361111111111111,6,3,1
"71",71,"2016-03-17","Away","LAK",202,186,"OTL","40","23","8","L 1",37,2026,600,35,192,2,2138,564,47,208,0.563380281690141,0.588235294117647,0.351351351351351,5,3,2
"72",72,"2016-03-19","Away","SJS",203,190,"L","40","24","8","L 2",37,2052,606,35,194,2,2190,570,48,211,0.555555555555556,0.588235294117647,0.342105263157895,4,4,2
"73",73,"2016-03-21","Home","FLA",207,192,"W","41","24","8","W 1",38,2084,612,36,196,2,2217,578,49,212,0.561643835616438,0.6,0.342105263157895,4,4,2
"74",74,"2016-03-23","Home","BOS",212,194,"W","42","24","8","W 2",39,2108,621,38,202,2,2258,595,49,214,0.567567567567568,0.611111111111111,0.342105263157895,5,3,2
"75",75,"2016-03-26","Away","MTL",217,196,"W","43","24","8","W 3",40,2131,635,40,205,2,2284,603,49,220,0.573333333333333,0.611111111111111,0.358974358974359,5,3,2
"76",76,"2016-03-27","Home","PIT",219,199,"OTL","43","24","9","L 1",40,2158,639,40,207,2,2316,607,49,222,0.565789473684211,0.594594594594595,0.358974358974359,5,2,3
"77",77,"2016-03-31","Away","CAR",222,203,"L","43","25","9","L 2",40,2185,643,41,210,2,2344,611,50,224,0.558441558441558,0.594594594594595,0.35,4,3,3
"78",78,"2016-04-02","Home","BUF",225,207,"L","43","26","9","L 3",40,2221,647,41,213,2,2368,617,50,226,0.551282051282051,0.578947368421053,0.35,4,4,2
"79",79,"2016-04-04","Away","CBJ",229,209,"W","44","26","9","W 1",41,2251,655,41,214,3,2397,619,50,230,0.556962025316456,0.578947368421053,0.365853658536585,5,3,2
"80",80,"2016-04-05","Home","TBL",232,211,"W","45","26","9","W 2",42,2279,682,42,220,3,2438,646,51,236,0.5625,0.58974358974359,0.365853658536585,5,3,2
"81",81,"2016-04-07","Home","NYI",233,215,"L","45","27","9","L 1",42,2316,690,42,224,3,2461,656,52,239,0.555555555555556,0.575,0.365853658536585,5,4,1
"82",82,"2016-04-09","Home","DET",236,217,"W","46","27","9","W 1",43,2336,698,42,226,3,2494,660,53,243,0.560975609756098,0.585365853658537,0.365853658536585,6,3,1
